Id,Ticket,,
11,20129,,
23,17900,,
32,19223,,
48,19558,,
122,18423,,
148,20308,,
282,20089,,
346,19954,,
1029,19865,,
1092,19654,,
1158,19613,,
1164,23370,,
1234,23508,,
1277,20304,,
1328,20768,,
1339,20241,,
1346,20241,,
1362,20676,,
1364,23376,,
1381,20511,,
1455,23496,,
1476,21632,,
1489,20792,,
1491,20796,,
1494,20805,,
1503,20843,,
1604,21632,,
1660,21672,,
1679,22655,,
1701,22842,,
1731,21949,,
1732,21708,,
1734,21946,,
1752,22131,,
1765,22191,,
1776,22225,,
1783,22537,,
1870,22582,,
1879,22804,,
1881,22621,,
1906,23458,,
1936,22831,,
1942,22852,,
1955,23041,,
1969,22537,,
1984,23046,,
1993,23119,,
2004,23199,,
2082,23516,,
